Date,Open,High,Low,Close,Adj Close,Volume
9/24/2018,17,17.025,16.860001,16.92,16.412291,7291300
9/25/2018,16.870001,16.965,16.530001,16.549999,16.053394,17845200
9/26/2018,16.59,16.719999,16.495001,16.51,16.014597,8897900
9/27/2018,16.629999,16.629999,16.25,16.280001,15.791498,12514200
9/28/2018,16.25,16.43,16.17,16.309999,15.820597,12488000
10/1/2018,16.370001,16.52,16.129999,16.18,15.694498,9808600
10/2/2018,16.139999,16.629999,16.139999,16.530001,16.033997,9636500
10/3/2018,16.540001,16.91,16.459999,16.75,16.247395,10580100
10/4/2018,16.790001,17,16.780001,16.85,16.344393,10262800
10/5/2018,16.809999,17.02,16.040001,16.139999,15.655699,12794700
10/8/2018,16.07,16.15,15.86,15.89,15.4132,8991800
10/9/2018,15.87,15.92,15.59,15.69,15.219201,12074000
10/10/2018,15.65,15.77,15.09,15.11,14.656606,10860900
10/11/2018,15.06,15.16,14.55,14.63,14.191008,9075100
10/12/2018,14.92,15.46,14.89,15.42,14.957303,16598800
10/15/2018,15.42,15.51,15.24,15.34,14.879704,9344700
10/16/2018,15.45,15.54,15.27,15.51,15.044602,6109300
10/17/2018,15.59,15.65,15.31,15.52,15.054303,6231700
10/18/2018,15.4,15.53,15.1,15.33,14.870003,8275200
10/19/2018,15.35,15.63,15.34,15.44,14.976702,7652700
10/22/2018,15.54,15.89,15.52,15.84,15.3647,7881600
10/23/2018,15.53,15.75,15.31,15.65,15.180401,9081300
10/24/2018,15.63,15.795,15.06,15.09,14.637206,8119500
10/25/2018,15.2,15.345,15.08,15.15,14.695404,8175700
10/26/2018,14.97,14.98,14.476,14.63,14.191008,10469500
10/29/2018,14.8,15.05,14.36,14.57,14.132808,8024400
10/30/2018,14.57,14.94,14.51,14.93,14.482006,8297100
10/31/2018,15.14,15.52,15.14,15.25,14.792404,9547400
11/1/2018,15.24,15.8,15.24,15.8,15.3259,6066800
11/2/2018,15.83,16.094999,15.735,15.89,15.4132,15140700
11/5/2018,15.89,16.01,15.68,15.93,15.452001,6268100
11/6/2018,15.93,16.07,15.83,15.88,15.403501,13047300
11/7/2018,16.030001,16.25,15.84,16.24,15.752698,18460200
11/8/2018,16.190001,16.518999,16.15,16.25,15.762397,7195500
11/9/2018,16.129999,16.195,15.565,15.72,15.248301,10721500
11/12/2018,15.58,15.605,15.19,15.28,14.821504,9571300
11/13/2018,15.31,15.61,15.245,15.34,14.879704,9517000
11/14/2018,15.48,15.675,15.11,15.15,14.695404,16235400
11/15/2018,15.07,15.48,14.89,15.32,14.860304,15280000
11/16/2018,15.28,15.35,15.1,15.2,14.743903,11150600
11/19/2018,15.1,15.215,14.7,14.83,14.385007,12707700
11/20/2018,14.6,14.8,14.405,14.53,14.094009,11300700
11/21/2018,14.64,14.93,14.63,14.7,14.258907,8652300
11/23/2018,14.56,14.715,14.49,14.54,14.103708,2909400
11/26/2018,14.72,14.985,14.69,14.91,14.462606,9953900
11/27/2018,14.79,15.06,14.76,15.06,14.608105,7771900
11/28/2018,15.18,15.46,14.9,15.46,14.996103,13439200
11/29/2018,15.4,15.42,15.1,15.12,14.666305,10922000
11/30/2018,15.09,15.14,14.77,15,14.549906,20963100
12/3/2018,15.26,15.53,15.22,15.5,15.034903,14845100
12/4/2018,15.42,15.54,14.98,15.05,14.598405,18349500
12/6/2018,14.81,16.26,14.56,16.02,15.539299,29136600
12/7/2018,15.97,15.97,14.66,14.71,14.268606,18469900
12/10/2018,14.62,14.845,14.19,14.57,14.132808,14047500
12/11/2018,14.58,14.83,14.38,14.74,14.409462,16343600
12/12/2018,14.96,14.99,14.63,14.64,14.311705,14122900
12/13/2018,14.65,14.93,14.44,14.49,14.165068,12862100
12/14/2018,14.35,14.46,14.2,14.22,13.901123,11166200
12/17/2018,14.17,14.27,13.55,13.59,13.28525,17072700
12/18/2018,13.71,13.93,13.54,13.63,13.324353,12805000
12/19/2018,13.59,13.84,13.07,13.17,12.874668,14299900
12/20/2018,13.08,13.16,12.595,12.65,12.366328,18528300
12/21/2018,12.66,13,12.485,12.61,12.327226,25427500
12/24/2018,12.46,12.595,12.225,12.27,11.994851,5400200
12/26/2018,12.34,12.86,12.087,12.81,12.522741,10312200
